Public toilet,Hospital,Park,Shopping mall,Hotel,Restaurant,Petrol Station,Mosque,Others,Name of the Place,Latitude,Longitude,Location,Separate female washroom,Handicapped washroom facility,Kids Feeding corner ,Separate female prayer room,kids and women refreshing area,Others
,Yes,,,,,,,,A Gafur Memorial Hospital,22.96965842,89.47702027,https://maps.app.goo.gl/k3KuGyCZywGc1NpV9,Yes,,,,,
,,,,,,Yes,,,Green Fuel LPG .Khulna,22.94882431,89.47939458,https://maps.app.goo.gl/y28HGhMKGgycg8ui6,,,,,,
,,,,,,Yes,,,Mim Filling Station.Khulna,22.94421226,89.48223947,https://maps.app.goo.gl/NHabtUMoHJJZh3AdA,,,,,,
,,,,,,Yes,,,S.K Filling Station.Khulna,22.96785332,89.48941145,https://maps.app.goo.gl/Zf6ahxQzgsN5Xq1k8,,,,,,
Yes ,,,,,,,,,Fulbari Bus Stand.Khulna,22.89789837,89.51022899,https://maps.app.goo.gl/hgqFgVnmLedYL3CXA,Yes,,,Yes,,
,,,,,,,Yes,,Baitul Mamur Jame Mosque.Khulna,22.84186746,89.53208857,https://maps.app.goo.gl/rDZJreT8ttPsBKhL7,,,,,,
,,Yes,,,,,,,Jahanabad Cantonment Park.Khulna,22.92523467,89.49648384,https://maps.app.goo.gl/5AJ2itAYkT1rWxyy5,Yes,Yes,,Yes,Yes,
,,,,,,Yes,,,Morol Filling Station.Khulna,22.90879819,89.50703374,https://maps.app.goo.gl/EcsoWcJwVZg2RUq9A,,,,,,
,,,,,,,Yes,,Khulna City Model Mosque,22.83517012,89.54313646,https://maps.app.goo.gl/Vo3QMVgU5SaQ3cEx5,,,,,,
,,,,,,,,,M.S Filling Station.khulna,22.86598631,89.52869503,https://maps.app.goo.gl/uJcTSqKq59yhLMyt7,,,,,,
,Yes,,,,,,,,Maniktola Shurjer Hashi Clinic,22.8892055,89.51392871,https://maps.app.goo.gl/VYdWkSzLeADYXf298,Yes,,Yes,Yes,Yes,
Yes ,,,,,,,,,Daulotput Bus Stand.Khulna,22.86859008,89.52651333,https://maps.app.goo.gl/ZMPd1L8ds3ACeMX38,Yes,Yes,,,,
,,,,,,Yes,,,Sultana Filling Station.Khulna,22.88975274,89.51719908,https://maps.app.goo.gl/2HGb81KxRzpyj9ea6,,,,,,
,,,,,,Yes,,,Bengal Petrolium service.khulna,22.8432876,89.53888773,https://maps.app.goo.gl/xqQpYK4Tnpg2WGy37,,,,,,
,Yes,,,,,,,,The Great hospital.Khulna,22.9178607,89.50104901,https://maps.app.goo.gl/X7VGgP1ZyXz3zgS89,Yes,,Yes,Yes,,
,,,,,,Yes,,,Khulna Filling Station,22.8719478,89.5270947,https://maps.app.goo.gl/qYx76qSum47YUCAw8,Yes,,,,,
,,,,,,,Yes,,Textile Mill Jame Mosque.Boyra.Khulna,22.82644506,89.54869031,https://maps.app.goo.gl/fZrh5eNVaCPooX378,,,,,,
Yes,,,,,,,,,Mohespur Public Toilet,23.35685197,88.91443396,https://maps.app.goo.gl/xuEUCt4UocbsyGnw6,,,,,,
Yes,,,,,,,,,Chowgasha Bazar Public Toilet,23.29332043,89.01385796,https://maps.app.goo.gl/iYdNqoMdKRw65G248,,,,,,
,,,Yes ,,,,,,Dhoni plaza.Chowgacha,23.26288966,89.02030016,https://maps.app.goo.gl/R4rssWh91E1CFLKr8,,,,,,
Yes,,,,,,,,,Chowgasha Main Bus Stand,23.2627624,89.02036826,https://maps.app.goo.gl/RWAGrT4DzYXtqGJRA,,,,,,
,,,,,,,Yes,,Kadbila Pochimpara Jame Mosque,23.3476839,88.914641,https://maps.app.goo.gl/LY3wCk4SfG2HrpeE9,,,,,,
Yes,,,,,,,,,Bangladesh krishi bank public toilet.Jhenaidha,23.55464296,89.22472101,https://maps.app.goo.gl/qL3PbTbNpyaSEq51A,,,,,,
Yes,,,,,,,,,Mach Bazar .Mohespur,23.35591466,88.91466163,https://maps.app.goo.gl/1Zo6Nz4BbPRUkiLY8,,,,,,
,Yes ,,,,,,,,Pabma Lab Diagnostic Center.Mohespur,23.3622013,88.91276176,https://maps.app.goo.gl/VzeVgx4t9wxtNUXHA,Yes,,Yes,Yes,Yes,
Yes,,,,,,,,,Belemath Bazar.Mohespur,23.33833434,88.94352601,https://maps.app.goo.gl/EY8X2mZmwSYmgr1U6,,,,,,
,,,,,,,Yes,,Mohespur Bazar Jame Mosque ,23.35612283,88.91474888,https://maps.app.goo.gl/9meNjKW25yW2NYyo8,,,,,,
,Yes ,,,,,,,,Upazila Health Complex .Chowgasha,23.25975764,89.02490164,https://maps.app.goo.gl/yUBfmz9m7hUpn9HQ7,Yes ,Yes ,Yes ,Yes ,Yes ,
Yes,,,,,,,,,Zawtola Bazar .Chowgacha,23.32237748,88.96677016,https://maps.app.goo.gl/v2jh562GykUr1iPQA,,,,,,
,,,,,,,Yea,,Jhawtola Jame Mosque .Chowgacha,23.32221379,88.96648481,https://maps.app.goo.gl/kZJv98iHaQ2Jkr7W6,,,,,,
,Yes ,,,,,,,,Chowgacha Islami Hospital,23.26734378,89.0197431,https://maps.app.goo.gl/pYw25X5dFHapyC2F7,,,,,,
